CensusYear,Subject,Gender,AgeGroup,QualifiedEntrantType,StockSize
2012,English,Female,35-54,Not a qualified Entrant,9360.820353795338
2013,English,Female,35-54,Not a qualified Entrant,9615.036360143626
2014,English,Female,35-54,Not a qualified Entrant,9843.335493887796
2015,English,Female,35-54,Not a qualified Entrant,10336.29023439955
2016,English,Female,35-54,Not a qualified Entrant,10477.513291790385
2017,English,Female,35-54,Not a qualified Entrant,10722.353795722585
2011,Food,Female,35-54,Not a qualified Entrant,1335.91312777057
2012,Food,Female,35-54,Not a qualified Entrant,1315.661788779862
2013,Food,Female,35-54,Not a qualified Entrant,1223.8237434583393
2014,Food,Female,35-54,Not a qualified Entrant,1230.6742076636483
2015,Food,Female,35-54,Not a qualified Entrant,1137.3665245937177
2016,Food,Female,35-54,Not a qualified Entrant,1128.2797633683272
2017,Food,Female,35-54,Not a qualified Entrant,1052.561282287634
2011,Geography,Female,35-54,Not a qualified Entrant,2071.23682116998
2012,Geography,Female,35-54,Not a qualified Entrant,2105.720993123478
2013,Geography,Female,35-54,Not a qualified Entrant,2201.377708907902
2014,Geography,Female,35-54,Not a qualified Entrant,2336.035070295758
2015,Geography,Female,35-54,Not a qualified Entrant,2506.641093421971
2016,Geography,Female,35-54,Not a qualified Entrant,2703.573254670012
2017,Geography,Female,35-54,Not a qualified Entrant,2785.3419420528157
2011,History,Female,35-54,Not a qualified Entrant,2392.9605360097503
2012,History,Female,35-54,Not a qualified Entrant,2444.2151131408164
2013,History,Female,35-54,Not a qualified Entrant,2616.7384754914674
2014,History,Female,35-54,Not a qualified Entrant,2689.9320413505657
2015,History,Female,35-54,Not a qualified Entrant,2771.4024647863325
2016,History,Female,35-54,Not a qualified Entrant,2842.3108388749265
2017,History,Female,35-54,Not a qualified Entrant,2926.617609540676
2011,Mathematics,Female,35-54,Not a qualified Entrant,6736.420331073908
2012,Mathematics,Female,35-54,Not a qualified Entrant,6844.533949943816
2013,Mathematics,Female,35-54,Not a qualified Entrant,6920.63549459682
2014,Mathematics,Female,35-54,Not a qualified Entrant,6967.302202535906
2015,Mathematics,Female,35-54,Not a qualified Entrant,7163.74819189491
2016,Mathematics,Female,35-54,Not a qualified Entrant,7292.90337315689
2017,Mathematics,Female,35-54,Not a qualified Entrant,7384.827423922345
2011,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6882.938009329635
2012,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6913.997699060004
2013,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6902.057870910443
2014,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6901.898986984934
2015,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6843.422304046373
2016,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6808.532132713042
2017,Modern Foreign Languages,Female,35-54,Not a qualified Entrant,6667.584413976273
2011,Music,Female,35-54,Not a qualified Entrant,1292.4212085763654
2012,Music,Female,35-54,Not a qualified Entrant,1349.3091175395373
2013,Music,Female,35-54,Not a qualified Entrant,1342.948337959391
2014,Music,Female,35-54,Not a qualified Entrant,1375.5819116083153
2015,Music,Female,35-54,Not a qualified Entrant,1437.102467129457
2016,Music,Female,35-54,Not a qualified Entrant,1364.857879728684
2017,Music,Female,35-54,Not a qualified Entrant,1370.1973890882136
2011,Others,Female,35-54,Not a qualified Entrant,4974.674440131324
2012,Others,Female,35-54,Not a qualified Entrant,4791.336046769569
2013,Others,Female,35-54,Not a qualified Entrant,4719.294559391085
2014,Others,Female,35-54,Not a qualified Entrant,4659.523928719352
2015,Others,Female,35-54,Not a qualified Entrant,4372.679192126752
2016,Others,Female,35-54,Not a qualified Entrant,4289.077941289245
2017,Others,Female,35-54,Not a qualified Entrant,4225.592799785325
2011,Physical Education,Female,35-54,Not a qualified Entrant,3237.37344906955
2012,Physical Education,Female,35-54,Not a qualified Entrant,3270.34087414443
2013,Physical Education,Female,35-54,Not a qualified Entrant,3377.3225742385544
2014,Physical Education,Female,35-54,Not a qualified Entrant,3606.5345657690177
2015,Physical Education,Female,35-54,Not a qualified Entrant,3717.6324820661875
2016,Physical Education,Female,35-54,Not a qualified Entrant,3795.765320849443
2017,Physical Education,Female,35-54,Not a qualified Entrant,3844.8329716185203
2011,Physics,Female,35-54,Not a qualified Entrant,1218.4303989956825
2012,Physics,Female,35-54,Not a qualified Entrant,1210.1675707940556
2013,Physics,Female,35-54,Not a qualified Entrant,1300.0470067223118
2014,Physics,Female,35-54,Not a qualified Entrant,1392.5181264113776
2015,Physics,Female,35-54,Not a qualified Entrant,1526.1074301116514
2016,Physics,Female,35-54,Not a qualified Entrant,1602.1928946252715
2017,Physics,Female,35-54,Not a qualified Entrant,1591.0442128755055
2011,Religious Education,Female,35-54,Not a qualified Entrant,2312.8533613908075
2012,Religious Education,Female,35-54,Not a qualified Entrant,2340.541833890661
2013,Religious Education,Female,35-54,Not a qualified Entrant,2302.4252452735354
2014,Religious Education,Female,35-54,Not a qualified Entrant,2382.538716847392
2015,Religious Education,Female,35-54,Not a qualified Entrant,2437.673973878584
2016,Religious Education,Female,35-54,Not a qualified Entrant,2505.824180986535
2017,Religious Education,Female,35-54,Not a qualified Entrant,2447.5614639651635
2011,Art & Design,Male,35-54,Not a qualified Entrant,1297.1322015474634
2012,Art & Design,Male,35-54,Not a qualified Entrant,1305.7012602479913
2013,Art & Design,Male,35-54,Not a qualified Entrant,1270.8447179004697
2014,Art & Design,Male,35-54,Not a qualified Entrant,1274.353711580225
2015,Art & Design,Male,35-54,Not a qualified Entrant,1224.316569361304
2016,Art & Design,Male,35-54,Not a qualified Entrant,1168.4803189735826
2017,Art & Design,Male,35-54,Not a qualified Entrant,1149.980800211969
2011,Biology,Male,35-54,Not a qualified Entrant,1874.3457612814475
2012,Biology,Male,35-54,Not a qualified Entrant,1794.5883842018
2013,Biology,Male,35-54,Not a qualified Entrant,1806.177185192711
2014,Biology,Male,35-54,Not a qualified Entrant,1826.5371059802733
2015,Biology,Male,35-54,Not a qualified Entrant,1834.4449942452745
2016,Biology,Male,35-54,Not a qualified Entrant,1843.0792432371732
2017,Biology,Male,35-54,Not a qualified Entrant,1896.8096177511309
2011,Business Studies,Male,35-54,Not a qualified Entrant,1438.568473396636
2012,Business Studies,Male,35-54,Not a qualified Entrant,1428.6155589044902
2013,Business Studies,Male,35-54,Not a qualified Entrant,1423.3421953379525
2014,Business Studies,Male,35-54,Not a qualified Entrant,1437.4285875561584
2015,Business Studies,Male,35-54,Not a qualified Entrant,1437.770364644055
2016,Business Studies,Male,35-54,Not a qualified Entrant,1410.6358927541132
2017,Business Studies,Male,35-54,Not a qualified Entrant,1422.4052397150333
2011,Chemistry,Male,35-54,Not a qualified Entrant,2325.0428284004884
2012,Chemistry,Male,35-54,Not a qualified Entrant,2236.399350349659
2013,Chemistry,Male,35-54,Not a qualified Entrant,2174.7291571538317
2014,Chemistry,Male,35-54,Not a qualified Entrant,2108.3190777585637
2015,Chemistry,Male,35-54,Not a qualified Entrant,2086.665350830318
2016,Chemistry,Male,35-54,Not a qualified Entrant,2118.4147397293696
2017,Chemistry,Male,35-54,Not a qualified Entrant,2066.657780451113
2011,Classics,Male,35-54,Not a qualified Entrant,62.46000716959108
2012,Classics,Male,35-54,Not a qualified Entrant,63.39196213657793
2013,Classics,Male,35-54,Not a qualified Entrant,67.01329110260343
2014,Classics,Male,35-54,Not a qualified Entrant,61.66020858283167
2015,Classics,Male,35-54,Not a qualified Entrant,64.34307080101733
2016,Classics,Male,35-54,Not a qualified Entrant,58.24306922927343
2017,Classics,Male,35-54,Not a qualified Entrant,50.59353692715722
2011,Computing,Male,35-54,Not a qualified Entrant,2970.7993270588822
2012,Computing,Male,35-54,Not a qualified Entrant,2771.2563303552984
2013,Computing,Male,35-54,Not a qualified Entrant,2638.7613688801885
2014,Computing,Male,35-54,Not a qualified Entrant,2479.3249701003033
2015,Computing,Male,35-54,Not a qualified Entrant,2443.574738560488
2016,Computing,Male,35-54,Not a qualified Entrant,2362.725607131104
2017,Computing,Male,35-54,Not a qualified Entrant,2236.579255634943
2011,Design & Technology,Male,35-54,Not a qualified Entrant,3576.755707059021
2012,Design & Technology,Male,35-54,Not a qualified Entrant,3453.445449564393
2013,Design & Technology,Male,35-54,Not a qualified Entrant,3235.9277363852952
2014,Design & Technology,Male,35-54,Not a qualified Entrant,3062.7011107973476
2015,Design & Technology,Male,35-54,Not a qualified Entrant,2864.3003163073454
2016,Design & Technology,Male,35-54,Not a qualified Entrant,2722.6518190448883
2017,Design & Technology,Male,35-54,Not a qualified Entrant,2585.463873698235
2011,Drama,Male,35-54,Not a qualified Entrant,668.3522582721502
2012,Drama,Male,35-54,Not a qualified Entrant,643.4763008206719
2013,Drama,Male,35-54,Not a qualified Entrant,625.9282048837769
2014,Drama,Male,35-54,Not a qualified Entrant,600.970790324163
2015,Drama,Male,35-54,Not a qualified Entrant,626.4400443720742
2016,Drama,Male,35-54,Not a qualified Entrant,610.3451412727175
2017,Drama,Male,35-54,Not a qualified Entrant,579.2767055454299
2011,English,Male,35-54,Not a qualified Entrant,2658.9299603484924
2012,English,Male,35-54,Not a qualified Entrant,2709.099173195589
2013,English,Male,35-54,Not a qualified Entrant,2753.8654644657554
2014,English,Male,35-54,Not a qualified Entrant,2788.1032092381693
2015,English,Male,35-54,Not a qualified Entrant,2888.244734809991
2016,English,Male,35-54,Not a qualified Entrant,2952.794838446661
2017,English,Male,35-54,Not a qualified Entrant,2940.549430413849
2011,Food,Male,35-54,Not a qualified Entrant,133.61339769769484
2012,Food,Male,35-54,Not a qualified Entrant,137.9010492389187
2013,Food,Male,35-54,Not a qualified Entrant,134.5667879975884
2014,Food,Male,35-54,Not a qualified Entrant,141.01522382804865
2015,Food,Male,35-54,Not a qualified Entrant,145.7836677256505
2016,Food,Male,35-54,Not a qualified Entrant,143.86317275100782
2017,Food,Male,35-54,Not a qualified Entrant,142.98339660750065
2011,Geography,Male,35-54,Not a qualified Entrant,2072.2837886008583
2012,Geography,Male,35-54,Not a qualified Entrant,2065.654260510212
2013,Geography,Male,35-54,Not a qualified Entrant,2177.5692806574343
2014,Geography,Male,35-54,Not a qualified Entrant,2231.0047170750927
2015,Geography,Male,35-54,Not a qualified Entrant,2320.6903168528297
2016,Geography,Male,35-54,Not a qualified Entrant,2419.21286864391
2017,Geography,Male,35-54,Not a qualified Entrant,2435.17614568412
2011,History,Male,35-54,Not a qualified Entrant,2396.6609360547436
2012,History,Male,35-54,Not a qualified Entrant,2457.4256303975935
2013,History,Male,35-54,Not a qualified Entrant,2465.109986205388
2014,History,Male,35-54,Not a qualified Entrant,2446.714845836537
2015,History,Male,35-54,Not a qualified Entrant,2464.623569338815
2016,History,Male,35-54,Not a qualified Entrant,2427.966595715079
2017,History,Male,35-54,Not a qualified Entrant,2446.3583480610805
2011,Mathematics,Male,35-54,Not a qualified Entrant,6258.37047825899
2012,Mathematics,Male,35-54,Not a qualified Entrant,6195.420552818623
2013,Mathematics,Male,35-54,Not a qualified Entrant,6184.233779224818
2014,Mathematics,Male,35-54,Not a qualified Entrant,6178.550357584032
2015,Mathematics,Male,35-54,Not a qualified Entrant,6260.957809576021
2016,Mathematics,Male,35-54,Not a qualified Entrant,6306.021296791887
2017,Mathematics,Male,35-54,Not a qualified Entrant,6423.761485687159
2011,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1588.3307809529217
2012,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1572.0740830770967
2013,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1573.0167278957542
2014,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1523.0446788267518
2015,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1522.7472735426913
2016,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1479.3600185425448
2017,Modern Foreign Languages,Male,35-54,Not a qualified Entrant,1458.3654981093746
2011,Music,Male,35-54,Not a qualified Entrant,1105.3291860476515
2012,Music,Male,35-54,Not a qualified Entrant,1131.8784635211982
2013,Music,Male,35-54,Not a qualified Entrant,1080.1210395567248
2014,Music,Male,35-54,Not a qualified Entrant,1051.950799351709
2015,Music,Male,35-54,Not a qualified Entrant,1065.188479320619
2016,Music,Male,35-54,Not a qualified Entrant,1050.5034740476663
2017,Music,Male,35-54,Not a qualified Entrant,1054.8697208566564
2011,Others,Male,35-54,Not a qualified Entrant,2707.6538093949002
2012,Others,Male,35-54,Not a qualified Entrant,2632.1289424133547
2013,Others,Male,35-54,Not a qualified Entrant,2567.246217499898
2014,Others,Male,35-54,Not a qualified Entrant,2447.9690098857122
2015,Others,Male,35-54,Not a qualified Entrant,2260.2167468454427
2016,Others,Male,35-54,Not a qualified Entrant,2147.8365776723517
2017,Others,Male,35-54,Not a qualified Entrant,2109.760575687012
2011,Physical Education,Male,35-54,Not a qualified Entrant,3582.585881298588
2012,Physical Education,Male,35-54,Not a qualified Entrant,3666.676118963258
2013,Physical Education,Male,35-54,Not a qualified Entrant,3827.113088951979
2014,Physical Education,Male,35-54,Not a qualified Entrant,3922.6915333109982
2015,Physical Education,Male,35-54,Not a qualified Entrant,4041.471730839343
2016,Physical Education,Male,35-54,Not a qualified Entrant,4230.217602686442
2017,Physical Education,Male,35-54,Not a qualified Entrant,4357.735802301584
2011,Physics,Male,35-54,Not a qualified Entrant,2757.1327710056994
2012,Physics,Male,35-54,Not a qualified Entrant,2811.098083618439
2013,Physics,Male,35-54,Not a qualified Entrant,2828.9252390465426
2014,Physics,Male,35-54,Not a qualified Entrant,2735.6914682327497
2015,Physics,Male,35-54,Not a qualified Entrant,2727.6712163045677
2016,Physics,Male,35-54,Not a qualified Entrant,2732.5974743346264
2017,Physics,Male,35-54,Not a qualified Entrant,2720.611741064822
2011,Religious Education,Male,35-54,Not a qualified Entrant,1259.0321524306946
2012,Religious Education,Male,35-54,Not a qualified Entrant,1262.7338417911467
2013,Religious Education,Male,35-54,Not a qualified Entrant,1228.315423963586
2014,Religious Education,Male,35-54,Not a qualified Entrant,1233.2498070490756
2015,Religious Education,Male,35-54,Not a qualified Entrant,1231.0655870027622
2016,Religious Education,Male,35-54,Not a qualified Entrant,1248.2382123199232
2017,Religious Education,Male,35-54,Not a qualified Entrant,1171.7468411082273
2011,Art & Design,Female,55 and over,Not a qualified Entrant,690.3127414404053
2012,Art & Design,Female,55 and over,Not a qualified Entrant,679.9197321805568
2013,Art & Design,Female,55 and over,Not a qualified Entrant,619.8109325569156
2014,Art & Design,Female,55 and over,Not a qualified Entrant,554.9809366758175
2015,Art & Design,Female,55 and over,Not a qualified Entrant,488.724890171656
2016,Art & Design,Female,55 and over,Not a qualified Entrant,465.89666373414127
2017,Art & Design,Female,55 and over,Not a qualified Entrant,476.6116951830994
2011,Biology,Female,55 and over,Not a qualified Entrant,733.0795731866251
2012,Biology,Female,55 and over,Not a qualified Entrant,760.960629819475
2013,Biology,Female,55 and over,Not a qualified Entrant,696.5685153034647
2014,Biology,Female,55 and over,Not a qualified Entrant,612.7860039283877
2015,Biology,Female,55 and over,Not a qualified Entrant,575.9400705783612
2016,Biology,Female,55 and over,Not a qualified Entrant,568.7030096564205
2017,Biology,Female,55 and over,Not a qualified Entrant,525.5395601909462
2011,Business Studies,Female,55 and over,Not a qualified Entrant,330.76664279503296
2012,Business Studies,Female,55 and over,Not a qualified Entrant,281.06798428259265
2013,Business Studies,Female,55 and over,Not a qualified Entrant,269.6429020229412
2014,Business Studies,Female,55 and over,Not a qualified Entrant,269.3855588355591
2015,Business Studies,Female,55 and over,Not a qualified Entrant,251.08113540748013
2016,Business Studies,Female,55 and over,Not a qualified Entrant,214.27784496334183
2017,Business Studies,Female,55 and over,Not a qualified Entrant,198.36206171168806
2011,Chemistry,Female,55 and over,Not a qualified Entrant,395.7623072422712
2012,Chemistry,Female,55 and over,Not a qualified Entrant,383.2582960264402
2013,Chemistry,Female,55 and over,Not a qualified Entrant,383.09735184612435
2014,Chemistry,Female,55 and over,Not a qualified Entrant,372.359535657851
2015,Chemistry,Female,55 and over,Not a qualified Entrant,379.95872678328783
2016,Chemistry,Female,55 and over,Not a qualified Entrant,401.8236572152436
2017,Chemistry,Female,55 and over,Not a qualified Entrant,411.7511849510905
2011,Classics,Female,55 and over,Not a qualified Entrant,49.10129263196461
2012,Classics,Female,55 and over,Not a qualified Entrant,46.4047860547705
2013,Classics,Female,55 and over,Not a qualified Entrant,47.23096891345663
2014,Classics,Female,55 and over,Not a qualified Entrant,46.20954374222595
2015,Classics,Female,55 and over,Not a qualified Entrant,39.07929692015435
2016,Classics,Female,55 and over,Not a qualified Entrant,33.30807773769064
2017,Classics,Female,55 and over,Not a qualified Entrant,23.981124898949307
2011,Computing,Female,55 and over,Not a qualified Entrant,401.64299572534895
2012,Computing,Female,55 and over,Not a qualified Entrant,360.13722856902496
2013,Computing,Female,55 and over,Not a qualified Entrant,335.58722543281993
2014,Computing,Female,55 and over,Not a qualified Entrant,299.31448439830757
2015,Computing,Female,55 and over,Not a qualified Entrant,278.0105996071932
2016,Computing,Female,55 and over,Not a qualified Entrant,240.48953284294146
2017,Computing,Female,55 and over,Not a qualified Entrant,224.24563850901555
2011,Design & Technology,Female,55 and over,Not a qualified Entrant,961.3236530823608
2012,Design & Technology,Female,55 and over,Not a qualified Entrant,964.3514029887015
2013,Design & Technology,Female,55 and over,Not a qualified Entrant,862.8443769895244
2014,Design & Technology,Female,55 and over,Not a qualified Entrant,784.2030342796932
2015,Design & Technology,Female,55 and over,Not a qualified Entrant,718.3147992586073
2016,Design & Technology,Female,55 and over,Not a qualified Entrant,663.6637596035052
2017,Design & Technology,Female,55 and over,Not a qualified Entrant,585.7408056795265
2011,Drama,Female,55 and over,Not a qualified Entrant,310.9110992697202
2012,Drama,Female,55 and over,Not a qualified Entrant,312.24247592663045
2013,Drama,Female,55 and over,Not a qualified Entrant,278.81128257245956
2014,Drama,Female,55 and over,Not a qualified Entrant,262.28504857766
2015,Drama,Female,55 and over,Not a qualified Entrant,232.42921220388138
2016,Drama,Female,55 and over,Not a qualified Entrant,199.4822992547825
2017,Drama,Female,55 and over,Not a qualified Entrant,164.11844233405856
2011,English,Female,55 and over,Not a qualified Entrant,2543.3235954213014
2012,English,Female,55 and over,Not a qualified Entrant,2461.1528440010943
2013,English,Female,55 and over,Not a qualified Entrant,2392.2844320339973
2014,English,Female,55 and over,Not a qualified Entrant,2190.5412681340226
2015,English,Female,55 and over,Not a qualified Entrant,2078.168488689596
2016,English,Female,55 and over,Not a qualified Entrant,1911.0043497178394
2017,English,Female,55 and over,Not a qualified Entrant,1741.0959979975441
2011,Food,Female,55 and over,Not a qualified Entrant,528.8056505982945
2012,Food,Female,55 and over,Not a qualified Entrant,501.7313665120063
2013,Food,Female,55 and over,Not a qualified Entrant,506.07692004474404
2014,Food,Female,55 and over,Not a qualified Entrant,442.7327931054612
2015,Food,Female,55 and over,Not a qualified Entrant,400.84483207300525
2016,Food,Female,55 and over,Not a qualified Entrant,341.32006414546584
2017,Food,Female,55 and over,Not a qualified Entrant,300.88279486751355
2011,Geography,Female,55 and over,Not a qualified Entrant,529.9206759191883
2012,Geography,Female,55 and over,Not a qualified Entrant,529.1726085317978
2013,Geography,Female,55 and over,Not a qualified Entrant,497.765685159097
2014,Geography,Female,55 and over,Not a qualified Entrant,462.1862637353321
2015,Geography,Female,55 and over,Not a qualified Entrant,419.27875932623175
2016,Geography,Female,55 and over,Not a qualified Entrant,360.96516304834455
2017,Geography,Female,55 and over,Not a qualified Entrant,308.9107916815618
2011,History,Female,55 and over,Not a qualified Entrant,604.4830581860842
2012,History,Female,55 and over,Not a qualified Entrant,599.6208089518102
2013,History,Female,55 and over,Not a qualified Entrant,540.4993414374175
2014,History,Female,55 and over,Not a qualified Entrant,514.9691719539946
2015,History,Female,55 and over,Not a qualified Entrant,477.2124585173319
2016,History,Female,55 and over,Not a qualified Entrant,401.60853304809694
2017,History,Female,55 and over,Not a qualified Entrant,391.1283293365415
2011,Mathematics,Female,55 and over,Not a qualified Entrant,1756.6806071859792
2012,Mathematics,Female,55 and over,Not a qualified Entrant,1685.9504250437085
2013,Mathematics,Female,55 and over,Not a qualified Entrant,1584.0648072350568
2014,Mathematics,Female,55 and over,Not a qualified Entrant,1587.2342234141827
2015,Mathematics,Female,55 and over,Not a qualified Entrant,1470.507197868602
2016,Mathematics,Female,55 and over,Not a qualified Entrant,1395.9104976042424
2017,Mathematics,Female,55 and over,Not a qualified Entrant,1315.3993491728834
2011,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1528.0921760516933
2012,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1488.2718753460208
2013,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1425.701174630972
2014,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1338.1278466116087
2015,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1285.3908571828422
2016,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1229.756331614876
2017,Modern Foreign Languages,Female,55 and over,Not a qualified Entrant,1095.404739534006
2011,Music,Female,55 and over,Not a qualified Entrant,221.7361968720516
2012,Music,Female,55 and over,Not a qualified Entrant,200.92786075833203
2013,Music,Female,55 and over,Not a qualified Entrant,205.5267725286544
2014,Music,Female,55 and over,Not a qualified Entrant,193.2699391819421
2015,Music,Female,55 and over,Not a qualified Entrant,167.43683506121363
2016,Music,Female,55 and over,Not a qualified Entrant,163.46164344781346
2017,Music,Female,55 and over,Not a qualified Entrant,152.9718388863847
2011,Others,Female,55 and over,Not a qualified Entrant,1418.3667488941342
2012,Others,Female,55 and over,Not a qualified Entrant,1354.9222730898537
2013,Others,Female,55 and over,Not a qualified Entrant,1275.5153596834502
2014,Others,Female,55 and over,Not a qualified Entrant,1118.5254408394962
2015,Others,Female,55 and over,Not a qualified Entrant,985.5948937920622
2016,Others,Female,55 and over,Not a qualified Entrant,887.4556974585767
2017,Others,Female,55 and over,Not a qualified Entrant,827.1431382445021
2011,Physical Education,Female,55 and over,Not a qualified Entrant,526.1955167044102
2012,Physical Education,Female,55 and over,Not a qualified Entrant,537.5039002859842
2013,Physical Education,Female,55 and over,Not a qualified Entrant,561.5472177490434
2014,Physical Education,Female,55 and over,Not a qualified Entrant,499.0213924815388
2015,Physical Education,Female,55 and over,Not a qualified Entrant,442.9413823054315
2016,Physical Education,Female,55 and over,Not a qualified Entrant,380.80565226535407
2017,Physical Education,Female,55 and over,Not a qualified Entrant,323.71286573436305
2011,Physics,Female,55 and over,Not a qualified Entrant,275.7999840215007
2012,Physics,Female,55 and over,Not a qualified Entrant,245.9282823005176
2013,Physics,Female,55 and over,Not a qualified Entrant,236.76852808733224
2014,Physics,Female,55 and over,Not a qualified Entrant,209.70823441708546
2015,Physics,Female,55 and over,Not a qualified Entrant,187.4176204987128
2016,Physics,Female,55 and over,Not a qualified Entrant,187.1171841587962
2017,Physics,Female,55 and over,Not a qualified Entrant,206.95016056684688
2011,Religious Education,Female,55 and over,Not a qualified Entrant,590.3113504190861
2012,Religious Education,Female,55 and over,Not a qualified Entrant,590.0018328527458
2013,Religious Education,Female,55 and over,Not a qualified Entrant,582.1022193091692
2014,Religious Education,Female,55 and over,Not a qualified Entrant,539.9542308484093
2015,Religious Education,Female,55 and over,Not a qualified Entrant,487.09619108860204
2016,Religious Education,Female,55 and over,Not a qualified Entrant,437.78597008051213
2017,Religious Education,Female,55 and over,Not a qualified Entrant,412.24600363867614
2011,Art & Design,Male,55 and over,Not a qualified Entrant,402.5978284058008
2012,Art & Design,Male,55 and over,Not a qualified Entrant,373.8751231603812
2013,Art & Design,Male,55 and over,Not a qualified Entrant,329.756509951457
2014,Art & Design,Male,55 and over,Not a qualified Entrant,299.87895337569057
