CensusYear,Subject,Gender,AgeGroup,QualifiedLeaverType,StockSize
2016,Geography,Female,35-54,Not a qualified Leaver,2411.701444013105
2017,Geography,Female,35-54,Not a qualified Leaver,2594.454297437103
2011,History,Female,35-54,Not a qualified Leaver,2248.893799232303
2012,History,Female,35-54,Not a qualified Leaver,2330.152910882106
2013,History,Female,35-54,Not a qualified Leaver,2416.2675287071593
2014,History,Female,35-54,Not a qualified Leaver,2545.4084129395483
2015,History,Female,35-54,Not a qualified Leaver,2646.862535756487
2016,History,Female,35-54,Not a qualified Leaver,2664.476081642537
2017,History,Female,35-54,Not a qualified Leaver,2745.001146450838
2011,Mathematics,Female,35-54,Not a qualified Leaver,6599.710204607946
2012,Mathematics,Female,35-54,Not a qualified Leaver,6759.524477468775
2013,Mathematics,Female,35-54,Not a qualified Leaver,6800.851766997482
2014,Mathematics,Female,35-54,Not a qualified Leaver,6845.029830613725
2015,Mathematics,Female,35-54,Not a qualified Leaver,6912.231903786353
2016,Mathematics,Female,35-54,Not a qualified Leaver,7036.142109215977
2017,Mathematics,Female,35-54,Not a qualified Leaver,7159.753651371861
2011,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6621.99361885734
2012,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6701.348948392327
2013,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6809.119099113401
2014,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6833.160009992755
2015,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6707.175921196473
2016,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6666.952688483403
2017,Modern Foreign Languages,Female,35-54,Not a qualified Leaver,6560.0073569601755
2011,Music,Female,35-54,Not a qualified Leaver,1196.0899763388807
2012,Music,Female,35-54,Not a qualified Leaver,1245.1695849650719
2013,Music,Female,35-54,Not a qualified Leaver,1293.5965895975464
2014,Music,Female,35-54,Not a qualified Leaver,1267.5547302577168
2015,Music,Female,35-54,Not a qualified Leaver,1349.4647251914298
2016,Music,Female,35-54,Not a qualified Leaver,1346.797483090783
2017,Music,Female,35-54,Not a qualified Leaver,1287.3408628565207
2011,Others,Female,35-54,Not a qualified Leaver,5083.834362610115
2012,Others,Female,35-54,Not a qualified Leaver,4887.561581880812
2013,Others,Female,35-54,Not a qualified Leaver,4688.006052167287
2014,Others,Female,35-54,Not a qualified Leaver,4520.9340268070355
2015,Others,Female,35-54,Not a qualified Leaver,4455.635638990436
2016,Others,Female,35-54,Not a qualified Leaver,4173.913242103639
2017,Others,Female,35-54,Not a qualified Leaver,4085.058328988769
2011,Physical Education,Female,35-54,Not a qualified Leaver,3090.2993486560695
2012,Physical Education,Female,35-54,Not a qualified Leaver,3167.968843360151
2013,Physical Education,Female,35-54,Not a qualified Leaver,3178.771938749272
2014,Physical Education,Female,35-54,Not a qualified Leaver,3259.961012660898
2015,Physical Education,Female,35-54,Not a qualified Leaver,3445.129368713912
2016,Physical Education,Female,35-54,Not a qualified Leaver,3536.4850279455495
2017,Physical Education,Female,35-54,Not a qualified Leaver,3590.8165992393015
2011,Physics,Female,35-54,Not a qualified Leaver,1155.7060011403062
2012,Physics,Female,35-54,Not a qualified Leaver,1217.3656151406856
2013,Physics,Female,35-54,Not a qualified Leaver,1185.4015926901966
2014,Physics,Female,35-54,Not a qualified Leaver,1290.2779885510204
2015,Physics,Female,35-54,Not a qualified Leaver,1370.6725068953492
2016,Physics,Female,35-54,Not a qualified Leaver,1499.8248170679926
2017,Physics,Female,35-54,Not a qualified Leaver,1538.4797914037824
2011,Religious Education,Female,35-54,Not a qualified Leaver,2238.150421729531
2012,Religious Education,Female,35-54,Not a qualified Leaver,2223.5038362587857
2013,Religious Education,Female,35-54,Not a qualified Leaver,2279.9096027494334
2014,Religious Education,Female,35-54,Not a qualified Leaver,2237.501819574975
2015,Religious Education,Female,35-54,Not a qualified Leaver,2316.857790849563
2016,Religious Education,Female,35-54,Not a qualified Leaver,2324.478879860616
2017,Religious Education,Female,35-54,Not a qualified Leaver,2427.81124985295
2011,Art & Design,Male,35-54,Not a qualified Leaver,1257.6203419167816
2012,Art & Design,Male,35-54,Not a qualified Leaver,1276.4162408387635
2013,Art & Design,Male,35-54,Not a qualified Leaver,1262.160803474886
2014,Art & Design,Male,35-54,Not a qualified Leaver,1245.4570581623575
2015,Art & Design,Male,35-54,Not a qualified Leaver,1209.762182087255
2016,Art & Design,Male,35-54,Not a qualified Leaver,1148.385595457792
2017,Art & Design,Male,35-54,Not a qualified Leaver,1113.3028269450417
2011,Biology,Male,35-54,Not a qualified Leaver,1889.2442346778012
2012,Biology,Male,35-54,Not a qualified Leaver,1812.2559296284307
2013,Biology,Male,35-54,Not a qualified Leaver,1754.3951268000471
2014,Biology,Male,35-54,Not a qualified Leaver,1753.9201625021267
2015,Biology,Male,35-54,Not a qualified Leaver,1722.4307408735522
2016,Biology,Male,35-54,Not a qualified Leaver,1794.413224075209
2017,Biology,Male,35-54,Not a qualified Leaver,1751.5095583878074
2011,Business Studies,Male,35-54,Not a qualified Leaver,1422.2597273950591
2012,Business Studies,Male,35-54,Not a qualified Leaver,1392.8898698563873
2013,Business Studies,Male,35-54,Not a qualified Leaver,1389.4751750670607
2014,Business Studies,Male,35-54,Not a qualified Leaver,1347.4372458063822
2015,Business Studies,Male,35-54,Not a qualified Leaver,1396.852345960246
2016,Business Studies,Male,35-54,Not a qualified Leaver,1368.226932336794
2017,Business Studies,Male,35-54,Not a qualified Leaver,1370.689011857249
2011,Chemistry,Male,35-54,Not a qualified Leaver,2254.8970533201277
2012,Chemistry,Male,35-54,Not a qualified Leaver,2269.3586387092582
2013,Chemistry,Male,35-54,Not a qualified Leaver,2176.6178596621035
2014,Chemistry,Male,35-54,Not a qualified Leaver,2038.546278257951
2015,Chemistry,Male,35-54,Not a qualified Leaver,2053.880396277056
2016,Chemistry,Male,35-54,Not a qualified Leaver,2033.3400105812427
2017,Chemistry,Male,35-54,Not a qualified Leaver,2042.8040532344155
2011,Classics,Male,35-54,Not a qualified Leaver,58.98323361720324
2012,Classics,Male,35-54,Not a qualified Leaver,61.46362889393295
2013,Classics,Male,35-54,Not a qualified Leaver,60.35880811704448
2014,Classics,Male,35-54,Not a qualified Leaver,71.11474131159983
2015,Classics,Male,35-54,Not a qualified Leaver,59.8706234474913
2016,Classics,Male,35-54,Not a qualified Leaver,63.70334207363552
2017,Classics,Male,35-54,Not a qualified Leaver,56.532413154430884
2011,Computing,Male,35-54,Not a qualified Leaver,2927.8881615340515
2012,Computing,Male,35-54,Not a qualified Leaver,2868.823911520244
2013,Computing,Male,35-54,Not a qualified Leaver,2654.114760259801
2014,Computing,Male,35-54,Not a qualified Leaver,2449.8781238806787
2015,Computing,Male,35-54,Not a qualified Leaver,2366.7289888363284
2016,Computing,Male,35-54,Not a qualified Leaver,2347.76457712698
2017,Computing,Male,35-54,Not a qualified Leaver,2235.5856948659202
2011,Design & Technology,Male,35-54,Not a qualified Leaver,3612.019042877722
2012,Design & Technology,Male,35-54,Not a qualified Leaver,3458.055933543522
2013,Design & Technology,Male,35-54,Not a qualified Leaver,3304.667577398457
2014,Design & Technology,Male,35-54,Not a qualified Leaver,3043.3924816607687
2015,Design & Technology,Male,35-54,Not a qualified Leaver,2874.0340034861974
2016,Design & Technology,Male,35-54,Not a qualified Leaver,2710.8481758344496
2017,Design & Technology,Male,35-54,Not a qualified Leaver,2531.880790212761
2011,Drama,Male,35-54,Not a qualified Leaver,637.2094092995128
2012,Drama,Male,35-54,Not a qualified Leaver,641.5601863800763
2013,Drama,Male,35-54,Not a qualified Leaver,625.139289384901
2014,Drama,Male,35-54,Not a qualified Leaver,590.3082069230155
2015,Drama,Male,35-54,Not a qualified Leaver,574.9754181844337
2016,Drama,Male,35-54,Not a qualified Leaver,578.3898345222715
2017,Drama,Male,35-54,Not a qualified Leaver,572.9450162285721
2011,English,Male,35-54,Not a qualified Leaver,2661.2944034770553
2012,English,Male,35-54,Not a qualified Leaver,2593.758438728706
2013,English,Male,35-54,Not a qualified Leaver,2648.1157859266764
2014,English,Male,35-54,Not a qualified Leaver,2677.819333248881
2015,English,Male,35-54,Not a qualified Leaver,2729.5945554144787
2016,English,Male,35-54,Not a qualified Leaver,2842.8733383087597
2017,English,Male,35-54,Not a qualified Leaver,2816.224097897544
2011,Food,Male,35-54,Not a qualified Leaver,130.65485163343575
2012,Food,Male,35-54,Not a qualified Leaver,131.26821895337724
2013,Food,Male,35-54,Not a qualified Leaver,134.79376975267277
2014,Food,Male,35-54,Not a qualified Leaver,128.3725992688243
2015,Food,Male,35-54,Not a qualified Leaver,138.26201370072948
2016,Food,Male,35-54,Not a qualified Leaver,135.38649523100375
2017,Food,Male,35-54,Not a qualified Leaver,135.62298064544592
2011,Geography,Male,35-54,Not a qualified Leaver,1983.3173182348476
2012,Geography,Male,35-54,Not a qualified Leaver,2006.845351123626
2013,Geography,Male,35-54,Not a qualified Leaver,2036.1368214815318
2014,Geography,Male,35-54,Not a qualified Leaver,2096.9997254728387
2015,Geography,Male,35-54,Not a qualified Leaver,2187.933821071849
2016,Geography,Male,35-54,Not a qualified Leaver,2225.285809731571
2017,Geography,Male,35-54,Not a qualified Leaver,2366.0579888427155
2011,History,Male,35-54,Not a qualified Leaver,2241.554136558314
2012,History,Male,35-54,Not a qualified Leaver,2389.2698552012084
2013,History,Male,35-54,Not a qualified Leaver,2388.8594502292804
2014,History,Male,35-54,Not a qualified Leaver,2363.3830336184606
2015,History,Male,35-54,Not a qualified Leaver,2356.555324653808
2016,History,Male,35-54,Not a qualified Leaver,2365.270443272606
2017,History,Male,35-54,Not a qualified Leaver,2324.088369282346
2011,Mathematics,Male,35-54,Not a qualified Leaver,6216.5080640928545
2012,Mathematics,Male,35-54,Not a qualified Leaver,6166.300945055213
2013,Mathematics,Male,35-54,Not a qualified Leaver,6101.324982474352
2014,Mathematics,Male,35-54,Not a qualified Leaver,6037.203465662366
2015,Mathematics,Male,35-54,Not a qualified Leaver,6003.415065296516
2016,Mathematics,Male,35-54,Not a qualified Leaver,6163.473502308289
2017,Mathematics,Male,35-54,Not a qualified Leaver,6153.093313592225
2011,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1536.456656627264
2012,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1517.5134257361071
2013,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1542.8211096431103
2014,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1522.4449009425455
2015,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1467.793671531623
2016,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1441.92594800056
2017,Modern Foreign Languages,Male,35-54,Not a qualified Leaver,1425.1018462662273
2011,Music,Male,35-54,Not a qualified Leaver,1057.544267659427
2012,Music,Male,35-54,Not a qualified Leaver,1084.231930907258
2013,Music,Male,35-54,Not a qualified Leaver,1044.9685538747688
2014,Music,Male,35-54,Not a qualified Leaver,1035.5607011426002
2015,Music,Male,35-54,Not a qualified Leaver,1012.7635042789836
2016,Music,Male,35-54,Not a qualified Leaver,991.9855752431683
2017,Music,Male,35-54,Not a qualified Leaver,1012.4099530491233
2011,Others,Male,35-54,Not a qualified Leaver,2906.1762548777965
2012,Others,Male,35-54,Not a qualified Leaver,2652.8693957662554
2013,Others,Male,35-54,Not a qualified Leaver,2540.8005809751858
2014,Others,Male,35-54,Not a qualified Leaver,2463.9889052938483
2015,Others,Male,35-54,Not a qualified Leaver,2340.2375883944164
2016,Others,Male,35-54,Not a qualified Leaver,2152.2276041260216
2017,Others,Male,35-54,Not a qualified Leaver,2055.982586605571
2011,Physical Education,Male,35-54,Not a qualified Leaver,3395.157585819468
2012,Physical Education,Male,35-54,Not a qualified Leaver,3490.5730060629785
2013,Physical Education,Male,35-54,Not a qualified Leaver,3599.2403028526805
2014,Physical Education,Male,35-54,Not a qualified Leaver,3701.056879916713
2015,Physical Education,Male,35-54,Not a qualified Leaver,3793.5993385124866
2016,Physical Education,Male,35-54,Not a qualified Leaver,3870.7603066877764
2017,Physical Education,Male,35-54,Not a qualified Leaver,4092.8780666772673
2011,Physics,Male,35-54,Not a qualified Leaver,2699.365241550462
2012,Physics,Male,35-54,Not a qualified Leaver,2694.6115882093454
2013,Physics,Male,35-54,Not a qualified Leaver,2728.930670513646
2014,Physics,Male,35-54,Not a qualified Leaver,2671.5627884655637
2015,Physics,Male,35-54,Not a qualified Leaver,2645.708686686992
2016,Physics,Male,35-54,Not a qualified Leaver,2644.666060394111
2017,Physics,Male,35-54,Not a qualified Leaver,2650.636712583225
2011,Religious Education,Male,35-54,Not a qualified Leaver,1218.8854929395695
2012,Religious Education,Male,35-54,Not a qualified Leaver,1223.8894445376447
2013,Religious Education,Male,35-54,Not a qualified Leaver,1213.968727653422
2014,Religious Education,Male,35-54,Not a qualified Leaver,1207.0397737399055
2015,Religious Education,Male,35-54,Not a qualified Leaver,1175.1372391576301
2016,Religious Education,Male,35-54,Not a qualified Leaver,1203.4427909982523
2017,Religious Education,Male,35-54,Not a qualified Leaver,1180.8587046892126
2011,Art & Design,Female,55 and over,Not a qualified Leaver,578.9315424248398
2012,Art & Design,Female,55 and over,Not a qualified Leaver,538.2007468232318
2013,Art & Design,Female,55 and over,Not a qualified Leaver,505.8098881816184
2014,Art & Design,Female,55 and over,Not a qualified Leaver,473.92295696891273
2015,Art & Design,Female,55 and over,Not a qualified Leaver,413.2319891895172
2016,Art & Design,Female,55 and over,Not a qualified Leaver,363.76740663352916
2017,Art & Design,Female,55 and over,Not a qualified Leaver,365.49760181941815
2011,Biology,Female,55 and over,Not a qualified Leaver,567.0015875561924
2012,Biology,Female,55 and over,Not a qualified Leaver,591.5529438487298
2013,Biology,Female,55 and over,Not a qualified Leaver,606.3285073876476
2014,Biology,Female,55 and over,Not a qualified Leaver,511.773846752504
2015,Biology,Female,55 and over,Not a qualified Leaver,461.0389113455152
2016,Biology,Female,55 and over,Not a qualified Leaver,456.3696588967939
2017,Biology,Female,55 and over,Not a qualified Leaver,441.11905732771737
2011,Business Studies,Female,55 and over,Not a qualified Leaver,275.5787970032294
2012,Business Studies,Female,55 and over,Not a qualified Leaver,257.2579353346411
2013,Business Studies,Female,55 and over,Not a qualified Leaver,225.01457142751536
2014,Business Studies,Female,55 and over,Not a qualified Leaver,214.19367577298752
2015,Business Studies,Female,55 and over,Not a qualified Leaver,206.41286826381605
2016,Business Studies,Female,55 and over,Not a qualified Leaver,193.1071707543107
2017,Business Studies,Female,55 and over,Not a qualified Leaver,167.97603960591977
2011,Chemistry,Female,55 and over,Not a qualified Leaver,326.01787970754884
2012,Chemistry,Female,55 and over,Not a qualified Leaver,307.75048410722644
2013,Chemistry,Female,55 and over,Not a qualified Leaver,295.386103869848
2014,Chemistry,Female,55 and over,Not a qualified Leaver,297.76010630700176
2015,Chemistry,Female,55 and over,Not a qualified Leaver,309.13578436420397
2016,Chemistry,Female,55 and over,Not a qualified Leaver,276.27279872452084
2017,Chemistry,Female,55 and over,Not a qualified Leaver,340.1465408427668
2011,Classics,Female,55 and over,Not a qualified Leaver,36.6894346887614
2012,Classics,Female,55 and over,Not a qualified Leaver,37.73686835904607
2013,Classics,Female,55 and over,Not a qualified Leaver,41.88123702178078
2014,Classics,Female,55 and over,Not a qualified Leaver,38.931116898458875
2015,Classics,Female,55 and over,Not a qualified Leaver,32.02286605024695
2016,Classics,Female,55 and over,Not a qualified Leaver,28.92834607435261
2017,Classics,Female,55 and over,Not a qualified Leaver,22.171159365478918
2011,Computing,Female,55 and over,Not a qualified Leaver,340.41172161855746
2012,Computing,Female,55 and over,Not a qualified Leaver,320.6855256361713
2013,Computing,Female,55 and over,Not a qualified Leaver,283.82120877401314
2014,Computing,Female,55 and over,Not a qualified Leaver,273.7673287773978
2015,Computing,Female,55 and over,Not a qualified Leaver,227.11553354085027
2016,Computing,Female,55 and over,Not a qualified Leaver,229.9842123847467
2017,Computing,Female,55 and over,Not a qualified Leaver,183.14161104569348
2011,Design & Technology,Female,55 and over,Not a qualified Leaver,785.545910483891
2012,Design & Technology,Female,55 and over,Not a qualified Leaver,758.2990787837547
2013,Design & Technology,Female,55 and over,Not a qualified Leaver,737.8942569754936
2014,Design & Technology,Female,55 and over,Not a qualified Leaver,633.7284218789827
2015,Design & Technology,Female,55 and over,Not a qualified Leaver,578.3144629379947
2016,Design & Technology,Female,55 and over,Not a qualified Leaver,560.4169215701351
2017,Design & Technology,Female,55 and over,Not a qualified Leaver,508.3080421778939
2011,Drama,Female,55 and over,Not a qualified Leaver,251.04896738154636
2012,Drama,Female,55 and over,Not a qualified Leaver,249.23266982413998
2013,Drama,Female,55 and over,Not a qualified Leaver,231.49146007691067
2014,Drama,Female,55 and over,Not a qualified Leaver,216.87388325302908
2015,Drama,Female,55 and over,Not a qualified Leaver,194.2474487911793
2016,Drama,Female,55 and over,Not a qualified Leaver,178.4040935946796
2017,Drama,Female,55 and over,Not a qualified Leaver,145.44980558426738
2011,English,Female,55 and over,Not a qualified Leaver,2054.6858875883077
2012,English,Female,55 and over,Not a qualified Leaver,1986.609562430139
2013,English,Female,55 and over,Not a qualified Leaver,1903.4730831649929
2014,English,Female,55 and over,Not a qualified Leaver,1836.0977067437445
2015,English,Female,55 and over,Not a qualified Leaver,1689.229059806421
2016,English,Female,55 and over,Not a qualified Leaver,1610.1344091807728
2017,English,Female,55 and over,Not a qualified Leaver,1428.5509497098656
2011,Food,Female,55 and over,Not a qualified Leaver,424.91104827042193
2012,Food,Female,55 and over,Not a qualified Leaver,407.1611276074234
2013,Food,Female,55 and over,Not a qualified Leaver,384.4834534447457
2014,Food,Female,55 and over,Not a qualified Leaver,371.4699117911497
2015,Food,Female,55 and over,Not a qualified Leaver,332.39161866566536
2016,Food,Female,55 and over,Not a qualified Leaver,285.9570823804457
2017,Food,Female,55 and over,Not a qualified Leaver,265.15162366545417
2011,Geography,Female,55 and over,Not a qualified Leaver,428.2933837742352
2012,Geography,Female,55 and over,Not a qualified Leaver,404.0187231549751
2013,Geography,Female,55 and over,Not a qualified Leaver,410.88262833564136
2014,Geography,Female,55 and over,Not a qualified Leaver,383.13288337787844
2015,Geography,Female,55 and over,Not a qualified Leaver,332.4649706006453
2016,Geography,Female,55 and over,Not a qualified Leaver,296.9721043172053
2017,Geography,Female,55 and over,Not a qualified Leaver,269.9093718388628
2011,History,Female,55 and over,Not a qualified Leaver,493.8924277851436
2012,History,Female,55 and over,Not a qualified Leaver,449.42718041884746
2013,History,Female,55 and over,Not a qualified Leaver,464.7277484839993
2014,History,Female,55 and over,Not a qualified Leaver,417.4243883139055
2015,History,Female,55 and over,Not a qualified Leaver,388.64476418296624
2016,History,Female,55 and over,Not a qualified Leaver,365.8207684085029
2017,History,Female,55 and over,Not a qualified Leaver,315.34956998743496
2011,Mathematics,Female,55 and over,Not a qualified Leaver,1493.2814861366678
2012,Mathematics,Female,55 and over,Not a qualified Leaver,1369.9300573040898
2013,Mathematics,Female,55 and over,Not a qualified Leaver,1334.2206438035905
2014,Mathematics,Female,55 and over,Not a qualified Leaver,1244.0268623423876
2015,Mathematics,Female,55 and over,Not a qualified Leaver,1213.9266177326945
2016,Mathematics,Female,55 and over,Not a qualified Leaver,1153.2521110566965
2017,Mathematics,Female,55 and over,Not a qualified Leaver,1088.9452087265267
2011,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1207.1817322225722
2012,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1169.9620504294046
2013,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1167.7612808631072
2014,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1107.2147830238496
2015,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1049.3683716353064
2016,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,1002.4473344490216
2017,Modern Foreign Languages,Female,55 and over,Not a qualified Leaver,924.6930887693057
2011,Music,Female,55 and over,Not a qualified Leaver,165.67885651529323
2012,Music,Female,55 and over,Not a qualified Leaver,168.5347373533314
2013,Music,Female,55 and over,Not a qualified Leaver,161.6162971519117
2014,Music,Female,55 and over,Not a qualified Leaver,158.45363648960608
2015,Music,Female,55 and over,Not a qualified Leaver,145.8768339839013
2016,Music,Female,55 and over,Not a qualified Leaver,126.54328994769017
2017,Music,Female,55 and over,Not a qualified Leaver,119.73727892293888
2011,Others,Female,55 and over,Not a qualified Leaver,1250.2890258784685
2012,Others,Female,55 and over,Not a qualified Leaver,1132.6521812804638
2013,Others,Female,55 and over,Not a qualified Leaver,1107.0392176299758
2014,Others,Female,55 and over,Not a qualified Leaver,980.7610835341417
2015,Others,Female,55 and over,Not a qualified Leaver,891.239337002167
2016,Others,Female,55 and over,Not a qualified Leaver,772.561939483194
2017,Others,Female,55 and over,Not a qualified Leaver,704.7101045974518
2011,Physical Education,Female,55 and over,Not a qualified Leaver,411.96268107496604
2012,Physical Education,Female,55 and over,Not a qualified Leaver,426.37048525572624
2013,Physical Education,Female,55 and over,Not a qualified Leaver,413.04920389511005
2014,Physical Education,Female,55 and over,Not a qualified Leaver,435.264493858631
2015,Physical Education,Female,55 and over,Not a qualified Leaver,362.92931930295157
2016,Physical Education,Female,55 and over,Not a qualified Leaver,307.38990887208604
2017,Physical Education,Female,55 and over,Not a qualified Leaver,287.3145088656529
2011,Physics,Female,55 and over,Not a qualified Leaver,211.7655894091914
2012,Physics,Female,55 and over,Not a qualified Leaver,204.52843580114114
2013,Physics,Female,55 and over,Not a qualified Leaver,200.08814018586258
2014,Physics,Female,55 and over,Not a qualified Leaver,182.0817352872965
2015,Physics,Female,55 and over,Not a qualified Leaver,159.9585502522774
2016,Physics,Female,55 and over,Not a qualified Leaver,141.4940987292219
2017,Physics,Female,55 and over,Not a qualified Leaver,149.5962318162531
2011,Religious Education,Female,55 and over,Not a qualified Leaver,467.0939449254329
2012,Religious Education,Female,55 and over,Not a qualified Leaver,460.85151369197695
2013,Religious Education,Female,55 and over,Not a qualified Leaver,454.87351880321484
2014,Religious Education,Female,55 and over,Not a qualified Leaver,438.75600827952854
2015,Religious Education,Female,55 and over,Not a qualified Leaver,377.80856350557434
2016,Religious Education,Female,55 and over,Not a qualified Leaver,361.0885842007451
2017,Religious Education,Female,55 and over,Not a qualified Leaver,320.4836271730176
2011,Art & Design,Male,55 and over,Not a qualified Leaver,327.3819680386166
2012,Art & Design,Male,55 and over,Not a qualified Leaver,328.3854861155144
2013,Art & Design,Male,55 and over,Not a qualified Leaver,271.3949255779729
2014,Art & Design,Male,55 and over,Not a qualified Leaver,263.4413207145787
